feature_name,dtype,missing_pct_overall,mean,std,min,max
HR,float64,0.0,85.0456,17.1666,22.0,183.0
O2Sat,float64,0.0,96.9712,5.3167,0.0,100.0
Temp,float64,0.0,36.721,2.9692,0.0,41.17
SBP,float64,0.0,119.6771,24.7901,0.0,229.0
MAP,float64,0.0,78.8281,15.2393,20.0,294.0
DBP,float64,0.0,41.0451,30.5581,0.0,173.0
Resp,float64,0.0,18.7682,5.4693,0.0,67.0
EtCO2,float64,0.0,0.0,0.0,0.0,0.0
BaseExcess,float64,0.0,0.0442,3.3724,-32.0,21.0
HCO3,float64,0.0,24.2249,5.1482,0.0,52.0
FiO2,float64,0.0,0.3327,0.2878,0.0,1.0
pH,float64,0.0,5.1932,3.3781,0.0,7.73
PaCO2,float64,0.0,28.0981,20.6343,0.0,100.0
SaO2,float64,0.0,41.5741,46.2581,0.0,100.0
AST,float64,0.0,87.5201,618.0702,0.0,9640.0
BUN,float64,0.0,23.087,18.6405,0.0,170.0
Alkalinephos,float64,0.0,30.0517,68.5716,0.0,1128.0
Calcium,float64,0.0,7.1011,3.025,0.0,14.1
Chloride,float64,0.0,103.9821,14.0502,0.0,135.0
Creatinine,float64,0.0,1.3093,1.4174,0.0,16.0
Bilirubin_direct,float64,0.0,0.1309,1.4708,0.0,29.1
Glucose,float64,0.0,129.5003,48.6626,0.0,615.0
Lactate,float64,0.0,0.8934,1.4913,0.0,24.6
Magnesium,float64,0.0,1.9435,0.5295,0.0,5.9
Phosphate,float64,0.0,3.0756,1.7088,0.0,16.9
Potassium,float64,0.0,4.0764,0.7527,0.0,10.0
Bilirubin_total,float64,0.0,0.5478,2.4332,0.0,39.0
TroponinI,float64,0.0,0.3542,3.2382,0.0,48.0
Hct,float64,0.0,30.9568,5.8918,0.0,56.4
Hgb,float64,0.0,10.485,2.1204,0.0,18.4
PTT,float64,0.0,29.9065,22.3584,0.0,150.0
WBC,float64,0.0,11.4184,6.5301,0.0,128.7
Fibrinogen,float64,0.0,52.2795,136.8874,0.0,954.0
Platelets,float64,0.0,205.1683,111.1909,0.0,970.0
Age,float64,0.0,62.9731,16.5781,18.11,88.98
Gender,int64,0.0,0.5831,0.493,0.0,1.0
Unit1,float64,0.0,0.2745,0.4463,0.0,1.0
Unit2,float64,0.0,0.2557,0.4363,0.0,1.0
HospAdmTime,float64,0.0,-46.6965,132.4899,-3269.1,14.65
ICULOS,int64,0.0,28.5536,29.2975,2.0,265.0
